,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_exploration_fraction,params_gamma,params_gradient_steps,params_learning_rate,params_learning_starts,params_max_grad_norm,params_net_arch,params_target_update_interval,params_tau,params_train_freq,user_attrs_gamma,state
70,70,-176.6271796,2025-01-18 07:05:28.376348,2025-01-18 07:05:40.022345,0 days 00:00:11.645997,tanh,3,7,0.18903827918651722,0.9397289478018664,1,0.0025409731773535344,8,2.523503693649881,tiny,3,0.8964204240125113,51,0.9397289478018664,COMPLETE
71,71,-503.35971550000005,2025-01-18 07:05:40.023294,2025-01-18 07:05:45.756185,0 days 00:00:05.732891,tanh,6,3,0.30773868930108983,0.964835737085056,3,0.015136347665343717,9,4.198848833923858,tiny,7,0.8785903450226412,166,0.964835737085056,PRUNED
72,72,-949.0681589,2025-01-18 07:05:45.757349,2025-01-18 07:05:52.257476,0 days 00:00:06.500127,tanh,5,3,0.26051036935604277,0.9485862637709993,3,0.00884340896092239,9,4.25064353500467,tiny,7,0.8861487420017782,169,0.9485862637709993,PRUNED
73,73,-240.1165983,2025-01-18 07:05:52.258662,2025-01-18 07:05:57.735767,0 days 00:00:05.477105,tanh,6,3,0.30000164363187753,0.9630607381666099,3,0.02583517299586168,9,4.870436579510247,tiny,7,0.905377777908932,179,0.9630607381666099,PRUNED
74,74,-396.45361490000005,2025-01-18 07:05:57.736979,2025-01-18 07:06:03.661276,0 days 00:00:05.924297,tanh,7,3,0.32807821952929184,0.9778949394343762,2,0.1399472981553675,8,2.9912191550937983,tiny,7,0.8707846414573056,114,0.9778949394343762,PRUNED
75,75,-596.214036,2025-01-18 07:06:03.662244,2025-01-18 07:06:09.603807,0 days 00:00:05.941563,tanh,5,4,0.21210148865148623,0.9657252216180284,3,0.07644305599770036,10,4.499702644218839,tiny,6,0.7962528953889989,156,0.9657252216180284,PRUNED
76,76,-108.89266110000001,2025-01-18 07:06:09.604702,2025-01-18 07:06:20.659496,0 days 00:00:11.054794,tanh,9,6,0.09914938444253159,0.996730983782869,3,1.526047102466566e-05,9,4.02944641514398,tiny,7,0.8864998077195037,98,0.996730983782869,COMPLETE
77,77,-139.52977460000002,2025-01-18 07:06:20.660792,2025-01-18 07:06:31.573802,0 days 00:00:10.913010,tanh,8,6,0.06932285805880391,0.9921438320907154,3,1.439597201351825e-05,7,3.887968077395432,tiny,7,0.7851331912047305,109,0.9921438320907154,COMPLETE
78,78,-1136.9336936,2025-01-18 07:06:31.574981,2025-01-18 07:06:38.324128,0 days 00:00:06.749147,tanh,9,6,0.09695724852228162,0.9968085847243857,2,3.72440541935045e-05,8,3.2683972907830654,tiny,5,0.8591119494607955,121,0.9968085847243857,PRUNED
79,79,-241.3678453,2025-01-18 07:06:38.324918,2025-01-18 07:06:43.910875,0 days 00:00:05.585957,tanh,9,6,0.06271426253224036,0.9719127053422705,3,2.0119232924900665e-05,9,4.093825989996386,tiny,7,0.7650820655440327,98,0.9719127053422705,PRUNED
